code,course_title,tower_name,domain_id,sub_domain_ids,theme_ids,audience_personas,difficulty,format,certification_eligible,level,price,access_layer,notion_page_id
FA-101-01,The GPU Revolution: Why Chips Drive Everything,Chips & Density,D1,D1.1|D1.2,T-001|T-002|T-005,Investor|Operator|Engineer,Foundational,Video,false,101,$4.99,Purchased,38989a0c-1680-814c-b6f5-c9e86a4cd2ac
FA-201-01,GPU Generations and the Infrastructure Cascade,Chips & Density,D1,D1.1|D1.2,T-001|T-002|T-005,Investor|Operator|Engineer,Practitioner,Interactive,false,201,$9.99,Purchased,38989a0c-1680-81e4-9c69-f719aad691eb
FA-301-01,Advanced Chip Intelligence: Reading the NVIDIA Ecosystem,Chips & Density,D1,D1.1|D1.3|D1.7,T-002|T-005,Investor|Operator|Engineer,Practitioner,Workshop,true,301,$9.99,Purchased,38989a0c-1680-8152-8075-e29ddb631caf
FA-401-01,Chip Intelligence Mastery: Market Forecasting and Investment Implications,Chips & Density,D1,D1.1|D1.6,T-002|T-005|T-006,Investor|Operator|Engineer,Expert,Workshop,true,401,$9.99,Purchased,38989a0c-1680-8185-ba4e-eb4a81e83906
FA-101-02,Power 101: How AI Data Centers Get Their Energy,Power Architecture,D2,D2.1|D2.2,T-001|T-007,Operator|Investor|Engineer,Foundational,Video,false,101,$4.99,Purchased,38989a0c-1680-815d-807a-eb3df4c6d6a4
FA-201-02,The 800V DC Revolution: Architecture and Investment Implications,Power Architecture,D2,D2.1|D2.6,T-001|T-007,Operator|Investor|Engineer,Practitioner,Interactive,false,201,$9.99,Purchased,38989a0c-1680-8108-adaf-f65f7d27a4fc
FA-301-02,"Power Intelligence: Sourcing, Contracts, and Behind-the-Meter Strategies",Power Architecture,D2,D2.1|D2.2,T-001|T-007,Operator|Investor|Engineer,Practitioner,Workshop,true,301,$9.99,Purchased,38989a0c-1680-814e-8144-da3bd7224720
FA-401-02,Power Architecture Mastery: Investment Thesis and Scenario Modeling,Power Architecture,D2,D2.2|D2.6|D2.7,T-001|T-007,Operator|Investor|Engineer,Expert,Workshop,true,401,$9.99,Purchased,38989a0c-1680-8199-bd3e-dec566fd2b08
FA-101-03,The Grid Crisis: Why Location Is the New Moat,Grid & Regulatory,D3,D3.1|D3.2,T-001|T-003,Policy|Investor|Operator,Foundational,Video,false,101,$4.99,Purchased,38989a0c-1680-8110-be39-ffedff569619
FA-201-03,"Navigating State Policy: Moratoriums, Incentives, and the Three-Tier Map",Grid & Regulatory,D3,D3.2|D3.3,T-001|T-003|T-007,Policy|Investor|Operator,Practitioner,Interactive,false,201,$9.99,Purchased,38989a0c-1680-81b4-8760-ee1871599607
FA-301-03,Regulatory Intelligence: Reading the Grid for Investment Signals,Grid & Regulatory,D3,D3.1|D3.4,T-001|T-003|T-007,Policy|Investor|Operator,Practitioner,Workshop,true,301,$9.99,Purchased,38989a0c-1680-81fb-91cd-e53d22aebdf8
FA-401-03,"Grid Mastery: Transmission, Policy, and Long-Horizon Scenario Modeling",Grid & Regulatory,D3,D3.1|D3.4,T-001|T-003|T-007,Policy|Investor|Operator,Expert,Workshop,true,401,$9.99,Purchased,38989a0c-1680-818f-b720-e4095e7e6946
FA-101-04,Deal Flow 101: How Capital Moves in the Data Center Economy,M&A & Capital Markets,D4,D4.1|D4.2,T-004,Investor|Consultant,Foundational,Video,false,101,$4.99,Purchased,38989a0c-1680-8161-af8d-d18c9491598f
FA-201-04,"PE Playbook: How Blackstone, DigitalBridge, and Ares Are Winning",M&A & Capital Markets,D4,D4.1|D4.2,T-004,Investor|Consultant,Practitioner,Interactive,false,201,$9.99,Purchased,38989a0c-1680-81b0-879b-cfa60273e6cd
FA-301-04,Capital Markets Intelligence: Reading Deal Flow for Alpha,M&A & Capital Markets,D4,D4.1|D4.2|D4.5,T-004,Investor|Consultant,Practitioner,Workshop,true,301,$9.99,Purchased,38989a0c-1680-81cc-a07d-f360e988aea7
FA-401-04,"M&A Mastery: Deal Structuring, Valuation, and Investment Thesis Construction",M&A & Capital Markets,D4,D4.1|D4.4,T-002|T-004,Investor|Consultant,Expert,Workshop,true,401,$9.99,Purchased,38989a0c-1680-8193-b838-d375eef1f0ea
FA-101-05,"The Big 5: AWS, Google, Microsoft, Meta, Oracle",Hyperscaler Activity,D5,D5.1,T-001|T-004,Investor|Operator|Exec,Foundational,Video,false,101,$4.99,Purchased,38989a0c-1680-81fa-9886-e63fce201d7c
FA-201-05,Hyperscaler Intelligence: Demand Signals and Campus Announcements,Hyperscaler Activity,D5,D5.1|D5.4,T-001|T-004|T-006,Investor|Operator|Exec,Practitioner,Interactive,false,201,$9.99,Purchased,38989a0c-1680-8152-9157-c4ecfa73eea9
FA-301-05,Hyperscaler Intelligence: Competitive Positioning and Demand Forecasting,Hyperscaler Activity,D5,D5.1|D5.2,T-001|T-004|T-005,Investor|Operator|Exec,Practitioner,Workshop,true,301,$9.99,Purchased,38989a0c-1680-8136-9b6a-fbcb4f19891b
FA-401-05,Hyperscaler Mastery: Long-Horizon Capex Modeling and Scenario Analysis,Hyperscaler Activity,D5,D5.1|D5.4,T-001|T-004|T-006,Investor|Operator|Exec,Expert,Workshop,true,401,$9.99,Purchased,38989a0c-1680-81d4-ad4e-d66e2a042afa
FA-101-06,"The Neocloud Era: CoreWeave, Crusoe, and the New Operators",New Entrants,D6,D6.1,T-004|T-005,Investor|Operator,Foundational,Video,false,101,$4.99,Purchased,38989a0c-1680-81de-876f-f0f7df01029b
FA-201-06,Neocloud Economics: Business Models and Competitive Dynamics,New Entrants,D6,D6.1,T-004|T-005,Investor|Operator,Practitioner,Interactive,false,201,$9.99,Purchased,38989a0c-1680-8142-9628-da59e56cd54e
FA-301-06,New Entrant Intelligence: Identifying Signals Before They Become Headlines,New Entrants,D6,D6.1|D6.3,T-004|T-005,Investor|Operator,Practitioner,Workshop,true,301,$9.99,Purchased,38989a0c-1680-8195-8aa4-ded4644a2933
FA-401-06,New Entrant Mastery: Competitive Landscape Modeling and M&A Targets,New Entrants,D6,D6.1|D6.3,T-004|T-005,Investor|Operator,Expert,Workshop,true,401,$9.99,Purchased,38989a0c-1680-814c-96b8-d7567b272875
FA-101-07,The Cooling Revolution: Why Heat Is the Problem That Changes Everything,Cooling & Water Technology,D7,D7.1|D7.3,T-002|T-003,Engineer|Operator|Investor,Foundational,Video,false,101,$4.99,Purchased,38989a0c-1680-8104-8fa2-ec704a8e922c
FA-201-07,"Cooling Technologies: DLC, Immersion, and CDU Market Dynamics",Cooling & Water Technology,D7,D7.1|D7.2|D7.4,T-002,Engineer|Operator|Investor,Practitioner,Interactive,false,201,$9.99,Purchased,38989a0c-1680-8117-ba39-da94e898a31d
FA-301-07,Cooling Intelligence: Technology Selection and Market Intelligence,Cooling & Water Technology,D7,D7.1|D7.3,T-002|T-003,Engineer|Operator|Investor,Practitioner,Workshop,true,301,$9.99,Purchased,38989a0c-1680-8150-8ba3-d149c02cbd20
FA-401-07,Cooling Mastery: Thermal Management Strategy and Investment Thesis,Cooling & Water Technology,D7,D7.1|D7.4,T-002,Engineer|Operator|Investor,Expert,Workshop,true,401,$9.99,Purchased,38989a0c-1680-81d7-af4f-cce59dd1995f
FA-101-08,Executive Intelligence: Why People Moves Are Market Signals,People & Signals,D8,D8.1|D8.2,T-004,Exec|Investor|Consultant,Foundational,Video,false,101,$4.99,Purchased,38989a0c-1680-81fa-80a4-e59f2d5a8808
FA-201-08,LinkedIn Intelligence: From Posts to Signals,People & Signals,D8,D8.1,T-004,Exec|Investor|Consultant,Practitioner,Interactive,false,201,$9.99,Purchased,38989a0c-1680-81fb-a364-f82de3b02bb1
FA-301-08,People Intelligence: Conference Strategy and Executive Network Mapping,People & Signals,D8,D8.2|D8.4,T-004,Exec|Investor|Consultant,Practitioner,Workshop,true,301,$9.99,Purchased,38989a0c-1680-815b-a0cd-ee4fc6f27623
FA-401-08,People Intelligence Mastery: Network Analysis and Soft Signal Interpretation,People & Signals,D8,D8.1|D8.4,T-004,Exec|Investor|Consultant,Expert,Workshop,true,401,$9.99,Purchased,38989a0c-1680-81fc-935f-f90b950fff9e
FA-101-09,The Control Plane: How AI Factories Are Managed,Orchestration Intelligence & Control Plane,D9,D9.1,T-005,Operator|Engineer|Investor,Foundational,Video,false,101,$4.99,Purchased,38989a0c-1680-817f-8eb0-f00d32ffeaab
FA-201-09,DCIM and the NVIDIA DSX Ecosystem,Orchestration Intelligence & Control Plane,D9,D9.1|D9.2,T-005,Operator|Engineer|Investor,Practitioner,Interactive,false,201,$9.99,Purchased,38989a0c-1680-81af-b107-e0836ceafa94
FA-301-09,Orchestration Intelligence: Reading Control Plane Signals for Infrastructure Investors,Orchestration Intelligence & Control Plane,D9,D9.1|D9.2,T-005,Operator|Engineer|Investor,Practitioner,Workshop,true,301,$9.99,Purchased,38989a0c-1680-8171-8ec0-dc0f02bdb9ee
FA-401-09,Orchestration Mastery: Platform Strategy and Market Positioning Analysis,Orchestration Intelligence & Control Plane,D9,D9.1,T-005,Operator|Engineer|Investor,Expert,Workshop,true,401,$9.99,Purchased,38989a0c-1680-8103-8f8a-c8cd6bed3860
